'roomId','checkIn','checkOut','adults','children','infants'
215,'2019-12-9','2019-12-16',3,2,1'
216,'2019-1-3','2019-1-19',3,0,1'
217,'2019-2-8','2019-2-26',4,2,2'
218,'2019-3-1','2019-3-16',3,1,0'
219,'2019-4-14','2019-4-21',2,0,0'
220,'2019-5-10','2019-5-19',4,3,0'
221,'2019-6-14','2019-6-26',3,0,2'
222,'2019-7-12','2019-7-22',1,1,0'
223,'2019-8-5','2019-8-24',2,3,1'
224,'2019-9-9','2019-9-18',2,4,0'
225,'2019-10-10','2019-10-17',3,0,0'
226,'2019-11-3','2019-11-21',4,1,1'
227,'2019-12-2','2019-12-15',4,3,1'
228,'2019-1-3','2019-1-28',1,2,1'
229,'2019-2-8','2019-2-17',4,4,1'
230,'2019-3-5','2019-3-19',3,3,1'
231,'2019-4-1','2019-4-27',1,0,0'
232,'2019-5-1','2019-5-24',3,0,1'
233,'2019-6-7','2019-6-27',3,4,0'
234,'2019-7-11','2019-7-17',4,0,0'
235,'2019-8-2','2019-8-18',1,0,1'
236,'2019-9-8','2019-9-27',3,1,2'
237,'2019-10-7','2019-10-26',2,2,0'
238,'2019-11-3','2019-11-24',3,2,0'
239,'2019-12-7','2019-12-28',2,1,0'
240,'2019-1-7','2019-1-20',3,0,2'
241,'2019-2-14','2019-2-16',3,3,0'
242,'2019-3-2','2019-3-23',1,4,1'
243,'2019-4-3','2019-4-23',3,3,2'
244,'2019-5-5','2019-5-15',4,1,2'
245,'2019-6-8','2019-6-18',4,1,1'
246,'2019-7-2','2019-7-27',4,0,0'
247,'2019-8-13','2019-8-27',4,0,0'
248,'2019-9-13','2019-9-22',2,3,2'
249,'2019-10-13','2019-10-20',2,2,1'
250,'2019-11-3','2019-11-19',2,0,1'
251,'2019-12-10','2019-12-15',2,1,0'
252,'2019-1-1','2019-1-22',4,4,1'
253,'2019-2-9','2019-2-24',3,3,0'
254,'2019-3-14','2019-3-23',1,3,1'
255,'2019-4-12','2019-4-17',1,3,0'
256,'2019-5-12','2019-5-17',4,2,2'
257,'2019-6-6','2019-6-24',2,3,0'
258,'2019-7-13','2019-7-28',3,4,0'
259,'2019-8-5','2019-8-27',3,2,2'
260,'2019-9-4','2019-9-28',3,0,0'
261,'2019-10-3','2019-10-23',2,0,1'
262,'2019-11-5','2019-11-23',1,2,1'
263,'2019-12-9','2019-12-28',4,3,0'
264,'2019-1-6','2019-1-18',2,2,2'
265,'2019-2-10','2019-2-25',4,1,2'
266,'2019-3-5','2019-3-18',3,3,2'
267,'2019-4-6','2019-4-15',3,3,2'
268,'2019-5-2','2019-5-20',1,0,1'
269,'2019-6-10','2019-6-19',1,2,0'
270,'2019-7-3','2019-7-28',1,0,1'
271,'2019-8-6','2019-8-21',2,2,0'
272,'2019-9-4','2019-9-17',2,2,2'
273,'2019-10-7','2019-10-20',3,4,0'
274,'2019-11-3','2019-11-15',3,1,2'
275,'2019-12-12','2019-12-20',4,2,1'
276,'2019-1-8','2019-1-28',3,4,2'
277,'2019-2-8','2019-2-24',1,0,1'
278,'2019-3-8','2019-3-28',4,1,2'
279,'2019-4-10','2019-4-25',3,3,2'
280,'2019-5-11','2019-5-15',3,4,0'
281,'2019-6-8','2019-6-19',1,3,1'
282,'2019-7-9','2019-7-22',3,3,1'
283,'2019-8-9','2019-8-24',4,2,1'
284,'2019-9-1','2019-9-24',4,4,0'
285,'2019-10-11','2019-10-20',2,3,0'
286,'2019-11-12','2019-11-21',3,1,1'
287,'2019-12-4','2019-12-28',2,0,2'
288,'2019-1-4','2019-1-28',1,3,1'
289,'2019-2-1','2019-2-17',2,1,0'
290,'2019-3-6','2019-3-28',2,0,1'
291,'2019-4-7','2019-4-22',1,3,0'
292,'2019-5-10','2019-5-20',2,3,2'
293,'2019-6-1','2019-6-17',3,4,1'
294,'2019-7-8','2019-7-28',2,3,1'
295,'2019-8-1','2019-8-23',1,3,2'
296,'2019-9-8','2019-9-28',1,0,1'
297,'2019-10-4','2019-10-27',1,2,2'
298,'2019-11-7','2019-11-24',4,1,1'
299,'2019-12-9','2019-12-28',1,3,0'
300,'2019-1-10','2019-1-28',4,0,1'
301,'2019-2-13','2019-2-24',1,4,1'
302,'2019-3-1','2019-3-15',3,0,1'
303,'2019-4-14','2019-4-21',3,1,2'
304,'2019-5-11','2019-5-26',3,2,1'
305,'2019-6-13','2019-6-27',2,1,0'
306,'2019-7-12','2019-7-20',1,3,2'
307,'2019-8-14','2019-8-24',4,1,2'
308,'2019-9-11','2019-9-20',4,0,0'
309,'2019-10-8','2019-10-25',2,4,2'
310,'2019-11-9','2019-11-18',3,4,2'
311,'2019-12-13','2019-12-21',4,2,1'
312,'2019-1-10','2019-1-23',3,2,0'
313,'2019-2-1','2019-2-24',2,4,1'
314,'2019-3-2','2019-3-26',1,0,1'
315,'2019-4-11','2019-4-16',1,0,0'
316,'2019-5-8','2019-5-15',2,3,0'
317,'2019-6-7','2019-6-21',4,2,0'
318,'2019-7-9','2019-7-17',3,3,1'
319,'2019-8-5','2019-8-17',2,2,2'
320,'2019-9-6','2019-9-27',3,3,1'
321,'2019-10-6','2019-10-20',1,1,2'
322,'2019-11-1','2019-11-28',4,0,0'
323,'2019-12-7','2019-12-16',1,2,2'
324,'2019-1-7','2019-1-16',4,4,0'
325,'2019-2-6','2019-2-23',2,2,0'
326,'2019-3-9','2019-3-21',4,1,2'
327,'2019-4-14','2019-4-24',2,3,1'
328,'2019-5-14','2019-5-23',1,4,1'
329,'2019-6-2','2019-6-20',4,3,0'
330,'2019-7-10','2019-7-18',1,3,2'
331,'2019-8-13','2019-8-25',1,0,2'
332,'2019-9-7','2019-9-27',2,4,1'
333,'2019-10-10','2019-10-16',4,2,2'
334,'2019-11-13','2019-11-25',1,2,2'
335,'2019-12-6','2019-12-18',4,2,2'
336,'2019-1-5','2019-1-27',2,2,1'
337,'2019-2-5','2019-2-20',2,4,2'
338,'2019-3-11','2019-3-26',4,4,2'
339,'2019-4-5','2019-4-23',2,2,2'
340,'2019-5-1','2019-5-18',3,0,2'
341,'2019-6-3','2019-6-15',3,4,2'
342,'2019-7-1','2019-7-22',3,1,0'
343,'2019-8-3','2019-8-21',1,1,2'
344,'2019-9-14','2019-9-20',4,3,1'
345,'2019-10-12','2019-10-26',1,1,0'
346,'2019-11-6','2019-11-21',3,1,2'
347,'2019-12-7','2019-12-16',1,2,0'
348,'2019-1-2','2019-1-23',3,1,0'
349,'2019-2-14','2019-2-24',1,0,0'
350,'2019-3-6','2019-3-15',2,1,2'
351,'2019-4-8','2019-4-26',2,3,1'
352,'2019-5-4','2019-5-22',2,3,0'
353,'2019-6-2','2019-6-16',3,1,0'
354,'2019-7-11','2019-7-27',2,4,0'
355,'2019-8-10','2019-8-25',4,1,0'
356,'2019-9-4','2019-9-16',2,4,2'
357,'2019-10-6','2019-10-25',4,3,0'
358,'2019-11-2','2019-11-26',1,0,1'
359,'2019-12-7','2019-12-17',1,3,1'
360,'2019-1-9','2019-1-21',2,2,2'
361,'2019-2-3','2019-2-25',3,1,0'
362,'2019-3-8','2019-3-28',2,4,2'
363,'2019-4-9','2019-4-24',1,3,0'
364,'2019-5-5','2019-5-28',2,1,2'
365,'2019-6-13','2019-6-15',3,2,0'
366,'2019-7-8','2019-7-23',1,3,0'
367,'2019-8-5','2019-8-23',1,3,1'
368,'2019-9-6','2019-9-26',1,1,1'
369,'2019-10-1','2019-10-28',3,0,1'
370,'2019-11-2','2019-11-23',3,3,2'
371,'2019-12-7','2019-12-19',1,1,1'
372,'2019-1-10','2019-1-22',3,1,0'
373,'2019-2-12','2019-2-22',3,0,0'
374,'2019-3-10','2019-3-19',4,4,1'
375,'2019-4-8','2019-4-21',3,0,2'
376,'2019-5-3','2019-5-26',2,1,0'
377,'2019-6-12','2019-6-23',2,2,0'
378,'2019-7-11','2019-7-19',4,3,0'
379,'2019-8-8','2019-8-22',3,4,0'
380,'2019-9-10','2019-9-20',1,2,0'
381,'2019-10-12','2019-10-22',2,3,1'
382,'2019-11-1','2019-11-24',2,0,0'
383,'2019-12-8','2019-12-23',4,4,1'
384,'2019-1-3','2019-1-19',2,0,2'
385,'2019-2-8','2019-2-23',2,0,0'
386,'2019-3-14','2019-3-15',4,2,0'
387,'2019-4-13','2019-4-23',4,3,0'
388,'2019-5-12','2019-5-16',1,4,1'
389,'2019-6-6','2019-6-17',1,1,1'
390,'2019-7-7','2019-7-21',3,0,1'
391,'2019-8-7','2019-8-16',3,0,2'
392,'2019-9-12','2019-9-16',2,4,2'
393,'2019-10-7','2019-10-24',4,4,2'
394,'2019-11-2','2019-11-22',3,0,2'
395,'2019-12-4','2019-12-23',2,1,1'
396,'2019-1-9','2019-1-22',3,0,2'
397,'2019-2-8','2019-2-23',4,2,0'
398,'2019-3-5','2019-3-22',4,3,1'
399,'2019-4-4','2019-4-22',1,4,0'
400,'2019-5-14','2019-5-22',4,2,1'
401,'2019-6-3','2019-6-15',1,1,1'
402,'2019-7-5','2019-7-19',1,3,1'
403,'2019-8-13','2019-8-23',1,3,1'
404,'2019-9-10','2019-9-22',2,0,2'
405,'2019-10-9','2019-10-17',3,0,2'
406,'2019-11-11','2019-11-16',3,4,1'
407,'2019-12-13','2019-12-27',4,2,1'
408,'2019-1-7','2019-1-15',4,0,1'
409,'2019-2-3','2019-2-18',4,1,0'
410,'2019-3-1','2019-3-19',2,2,2'
411,'2019-4-10','2019-4-24',3,2,2'
412,'2019-5-14','2019-5-20',1,4,0'
413,'2019-6-9','2019-6-26',2,0,0'
414,'2019-7-5','2019-7-24',3,4,2'
415,'2019-8-12','2019-8-24',1,3,1'
416,'2019-9-3','2019-9-15',2,4,1'
417,'2019-10-13','2019-10-19',1,4,1'
418,'2019-11-13','2019-11-27',4,3,1'
419,'2019-12-14','2019-12-28',2,0,2'
420,'2019-1-9','2019-1-21',3,0,0'
421,'2019-2-8','2019-2-20',2,4,0'
422,'2019-3-5','2019-3-20',3,4,2'
423,'2019-4-12','2019-4-18',4,3,2'
424,'2019-5-10','2019-5-27',1,4,1'
425,'2019-6-7','2019-6-27',4,1,1'
426,'2019-7-9','2019-7-15',3,2,1'
427,'2019-8-9','2019-8-23',1,3,0'
428,'2019-9-6','2019-9-23',4,4,1'
429,'2019-10-12','2019-10-21',4,2,2'
430,'2019-11-5','2019-11-24',1,3,2'
431,'2019-12-8','2019-12-19',4,0,2'
432,'2019-1-10','2019-1-23',4,4,2'
433,'2019-2-9','2019-2-24',3,0,0'
434,'2019-3-10','2019-3-22',3,3,2'
435,'2019-4-9','2019-4-27',1,1,1'
436,'2019-5-11','2019-5-23',4,2,0'
437,'2019-6-8','2019-6-24',2,4,2'
438,'2019-7-2','2019-7-20',2,3,0'
439,'2019-8-5','2019-8-25',3,1,2'
440,'2019-9-12','2019-9-26',3,0,0'
441,'2019-10-12','2019-10-20',3,2,2'
442,'2019-11-14','2019-11-21',1,4,1'
443,'2019-12-7','2019-12-21',3,0,0'
444,'2019-1-13','2019-1-23',1,2,2'
445,'2019-2-8','2019-2-17',1,0,2'
446,'2019-3-10','2019-3-17',3,3,0'
447,'2019-4-6','2019-4-22',1,3,2'
448,'2019-5-6','2019-5-27',1,2,0'
449,'2019-6-7','2019-6-21',1,1,1'
450,'2019-7-8','2019-7-19',3,4,0'
451,'2019-8-11','2019-8-18',2,0,1'
452,'2019-9-13','2019-9-15',2,4,0'
453,'2019-10-13','2019-10-22',4,0,2'
454,'2019-11-2','2019-11-22',4,3,1'
455,'2019-12-8','2019-12-27',4,0,1'
456,'2019-1-3','2019-1-15',4,3,0'
457,'2019-2-3','2019-2-23',4,2,0'
458,'2019-3-14','2019-3-22',2,0,2'
459,'2019-4-11','2019-4-18',3,1,0'
460,'2019-5-3','2019-5-27',4,4,2'
461,'2019-6-4','2019-6-27',3,2,1'
462,'2019-7-3','2019-7-26',4,0,0'
463,'2019-8-1','2019-8-18',4,0,0'
464,'2019-9-3','2019-9-17',2,1,0'
465,'2019-10-7','2019-10-22',3,1,1'
466,'2019-11-1','2019-11-16',2,2,1'
467,'2019-12-12','2019-12-24',1,1,0'
468,'2019-1-5','2019-1-28',2,2,2'
469,'2019-2-9','2019-2-24',2,0,1'
470,'2019-3-3','2019-3-22',2,2,2'
471,'2019-4-7','2019-4-22',2,4,0'
472,'2019-5-4','2019-5-21',3,0,2'
473,'2019-6-2','2019-6-24',2,3,1'
474,'2019-7-2','2019-7-18',3,3,0'
475,'2019-8-2','2019-8-26',3,3,0'
476,'2019-9-10','2019-9-21',4,4,0'
477,'2019-10-10','2019-10-25',1,0,1'
478,'2019-11-2','2019-11-26',2,1,0'
479,'2019-12-3','2019-12-23',3,3,1'
480,'2019-1-14','2019-1-24',4,3,1'
481,'2019-2-8','2019-2-20',3,2,2'
482,'2019-3-3','2019-3-22',2,4,1'
483,'2019-4-11','2019-4-28',3,1,2'
484,'2019-5-8','2019-5-26',4,1,2'
485,'2019-6-2','2019-6-18',2,4,1'
486,'2019-7-3','2019-7-24',4,2,0'
487,'2019-8-14','2019-8-28',2,1,2'
488,'2019-9-12','2019-9-28',1,0,0'
489,'2019-10-5','2019-10-25',4,0,0'
490,'2019-11-7','2019-11-26',2,2,2'
491,'2019-12-11','2019-12-16',4,1,0'
492,'2019-1-12','2019-1-19',2,0,2'
493,'2019-2-1','2019-2-15',4,3,1'
494,'2019-3-1','2019-3-25',4,0,0'
495,'2019-4-2','2019-4-15',1,4,0'
496,'2019-5-7','2019-5-26',3,3,2'
497,'2019-6-4','2019-6-24',3,0,0'
498,'2019-7-9','2019-7-16',4,0,1'
499,'2019-8-7','2019-8-27',2,1,2'
500,'2019-9-1','2019-9-21',4,1,1'
501,'2019-10-5','2019-10-28',4,1,1'
502,'2019-11-13','2019-11-28',4,4,0'
503,'2019-12-6','2019-12-26',3,4,1'
504,'2019-1-1','2019-1-27',3,3,1'
505,'2019-2-6','2019-2-20',1,1,0'
506,'2019-3-3','2019-3-22',4,0,1'
507,'2019-4-11','2019-4-17',1,3,0'
508,'2019-5-4','2019-5-26',3,3,0'
509,'2019-6-11','2019-6-24',4,2,1'
510,'2019-7-5','2019-7-21',3,0,1'
511,'2019-8-9','2019-8-20',1,0,0'
512,'2019-9-2','2019-9-21',2,4,0'
513,'2019-10-13','2019-10-16',1,4,1'
514,'2019-11-11','2019-11-20',1,0,1'
515,'2019-12-4','2019-12-15',4,0,2'
516,'2019-1-3','2019-1-27',2,2,1'
517,'2019-2-9','2019-2-24',1,3,0'
518,'2019-3-13','2019-3-28',4,2,1'
519,'2019-4-9','2019-4-27',4,0,1'
520,'2019-5-11','2019-5-23',4,0,0'
521,'2019-6-13','2019-6-24',3,1,2'
522,'2019-7-9','2019-7-15',2,4,1'
523,'2019-8-4','2019-8-24',2,4,2'
524,'2019-9-11','2019-9-26',4,2,0'
525,'2019-10-10','2019-10-20',1,0,0'
526,'2019-11-10','2019-11-27',1,2,0'
527,'2019-12-3','2019-12-28',4,4,1'
528,'2019-1-4','2019-1-17',1,2,2'
529,'2019-2-2','2019-2-15',1,3,0'
530,'2019-3-6','2019-3-16',1,4,1'
531,'2019-4-14','2019-4-17',2,1,0'
532,'2019-5-6','2019-5-27',4,0,1'
533,'2019-6-7','2019-6-26',3,2,2'
534,'2019-7-8','2019-7-18',1,0,1'
535,'2019-8-2','2019-8-27',2,4,2'
536,'2019-9-7','2019-9-27',4,3,0'
537,'2019-10-13','2019-10-24',3,3,1'
538,'2019-11-9','2019-11-15',3,3,2'
539,'2019-12-2','2019-12-20',4,1,0'
540,'2019-1-2','2019-1-17',2,3,2'
541,'2019-2-11','2019-2-20',3,3,0'
542,'2019-3-9','2019-3-25',4,1,2'
543,'2019-4-13','2019-4-15',3,2,0'
544,'2019-5-8','2019-5-25',3,2,2'
545,'2019-6-1','2019-6-26',4,2,1'
546,'2019-7-4','2019-7-25',3,1,1'
547,'2019-8-11','2019-8-16',1,4,2'
548,'2019-9-9','2019-9-16',2,1,0'
549,'2019-10-4','2019-10-27',3,0,0'
550,'2019-11-12','2019-11-17',2,4,2'
551,'2019-12-5','2019-12-17',2,3,2'
552,'2019-1-11','2019-1-23',4,2,0'
553,'2019-2-10','2019-2-25',2,0,2'
554,'2019-3-3','2019-3-19',1,1,2'
555,'2019-4-9','2019-4-21',3,3,0'
556,'2019-5-10','2019-5-15',2,2,1'
557,'2019-6-3','2019-6-24',4,3,1'
558,'2019-7-7','2019-7-20',4,3,0'
559,'2019-8-1','2019-8-16',2,2,1'
560,'2019-9-4','2019-9-26',4,2,0'
561,'2019-10-4','2019-10-27',2,0,0'
562,'2019-11-1','2019-11-21',1,0,2'
563,'2019-12-14','2019-12-21',3,4,0'
564,'2019-1-9','2019-1-26',2,0,0'
565,'2019-2-5','2019-2-20',4,4,2'
566,'2019-3-8','2019-3-15',1,2,1'
567,'2019-4-10','2019-4-26',3,1,0'
568,'2019-5-13','2019-5-27',2,3,2'
569,'2019-6-12','2019-6-26',3,2,0'
570,'2019-7-13','2019-7-17',1,3,0'
571,'2019-8-2','2019-8-24',4,1,1'
572,'2019-9-7','2019-9-24',4,0,1'
573,'2019-10-13','2019-10-18',4,2,2'
574,'2019-11-9','2019-11-22',1,4,0'
575,'2019-12-11','2019-12-27',3,3,2'
576,'2019-1-2','2019-1-18',1,0,0'
577,'2019-2-14','2019-2-25',2,2,0'
578,'2019-3-12','2019-3-19',2,0,0'
579,'2019-4-3','2019-4-16',2,0,0'
580,'2019-5-1','2019-5-15',3,0,1'
581,'2019-6-12','2019-6-15',4,4,2'
